Sex,Fare,Pclass,Survived
male,7.25,3,0
female,71.2833,1,1
female,7.925,3,1
female,53.1,1,1
male,8.05,3,0
male,8.4583,3,0
male,51.8625,1,0
male,21.075,3,0
female,11.1333,3,1
female,30.0708,2,1
female,16.7,3,1
female,26.55,1,1
male,8.05,3,0
male,31.275,3,0
female,7.8542,3,0
female,16.0,2,1
male,29.125,3,0
male,13.0,2,1
female,18.0,3,0
female,7.225,3,1
male,26.0,2,0
male,13.0,2,1
female,8.0292,3,1
male,35.5,1,1
female,21.075,3,0
female,31.3875,3,1
male,7.225,3,0
male,263.0,1,0
female,7.8792,3,1
male,7.8958,3,0
male,27.7208,1,0
female,146.5208,1,1
female,7.75,3,1
male,10.5,2,0
male,82.1708,1,0
male,52.0,1,0
male,7.2292,3,1
male,8.05,3,0
female,18.0,3,0
female,11.2417,3,1
female,9.475,3,0
female,21.0,2,0
male,7.8958,3,0
female,41.5792,2,1
female,7.8792,3,1
male,8.05,3,0
male,15.5,3,0
female,7.75,3,1
male,21.6792,3,0
female,17.8,3,0
male,39.6875,3,0
male,7.8,3,0
female,76.7292,1,1
female,26.0,2,1
male,61.9792,1,0
male,35.5,1,1
female,10.5,2,1
male,7.2292,3,0
female,27.75,2,1
male,46.9,3,0
male,7.2292,3,0
female,80.0,1,1
male,83.475,1,0
male,27.9,3,0
male,27.7208,1,0
male,15.2458,3,1
female,10.5,2,1
male,8.1583,3,0
female,7.925,3,1
male,8.6625,3,0
male,10.5,2,0
female,46.9,3,0
male,73.5,2,0
male,14.4542,3,0
male,56.4958,3,1
male,7.65,3,0
male,7.8958,3,0
male,8.05,3,0
male,29.0,2,1
female,12.475,3,1
male,9.0,3,0
male,9.5,3,1
female,7.7875,3,1
male,47.1,1,0
female,10.5,2,1
female,15.85,3,1
male,34.375,3,0
male,8.05,3,0
female,263.0,1,1
male,8.05,3,0
male,8.05,3,0
male,7.8542,3,0
male,61.175,1,0
male,20.575,3,0
male,7.25,3,0
male,8.05,3,0
male,34.6542,1,0
male,63.3583,1,1
female,23.0,2,1
male,26.0,2,0
female,7.8958,3,0
male,7.8958,3,0
male,77.2875,1,0
male,8.6542,3,0
male,7.925,3,0
male,7.8958,3,0
female,7.65,3,1
male,7.775,3,1
male,7.8958,3,0
female,24.15,3,1
male,52.0,1,0
female,14.4542,3,0
male,8.05,3,0
female,9.825,3,0
female,14.4583,3,0
male,7.925,3,0
male,7.75,3,0
male,21.0,2,0
male,247.5208,1,0
female,31.275,3,0
male,73.5,2,0
male,8.05,3,0
male,30.0708,2,0
female,13.0,2,1
male,77.2875,1,0
male,11.2417,3,1
male,7.75,3,0
male,7.1417,3,1
female,22.3583,3,1
male,6.975,3,0
male,7.8958,3,0
male,7.05,3,0
female,14.5,3,0
female,26.0,2,1
male,13.0,2,0
male,15.0458,2,0
female,26.2833,1,1
male,53.1,1,0
male,9.2167,3,0
male,79.2,1,0
female,15.2458,3,0
female,7.75,3,1
female,15.85,3,1
male,6.75,3,0
male,11.5,2,0
male,36.75,2,0
male,7.7958,3,1
female,34.375,3,0
male,26.0,2,0
male,13.0,2,0
male,12.525,2,0
female,66.6,1,1
male,8.05,3,0
male,14.5,3,0
male,7.3125,3,0
male,61.3792,1,0
female,7.7333,3,1
male,8.05,3,0
male,8.6625,3,0
male,69.55,3,0
male,16.1,3,0
female,15.75,2,1
male,7.775,3,0
male,8.6625,3,0
male,39.6875,3,0
male,20.525,3,1
female,55.0,1,1
female,27.9,3,0
male,25.925,1,0
male,56.4958,3,0
male,33.5,1,0
male,29.125,3,0
female,11.1333,3,1
male,7.925,3,0
male,30.6958,1,0
male,7.8542,3,0
male,25.4667,3,0
female,28.7125,1,0
male,13.0,2,0
male,0.0,3,0
female,69.55,3,0
male,15.05,2,0
male,31.3875,3,0
male,39.0,2,1
female,22.025,3,1
male,50.0,1,0
female,15.5,3,1
male,26.55,1,1
male,15.5,3,0
male,7.8958,3,0
female,13.0,2,1
male,13.0,2,0
female,7.8542,3,1
male,26.0,2,1
female,27.7208,1,1
female,146.5208,1,1
male,7.75,3,0
male,8.4042,3,0
female,7.75,3,1
female,13.0,2,0
male,9.5,3,0
male,69.55,3,0
male,6.4958,3,0
male,7.225,3,0
male,8.05,3,1
female,10.4625,3,0
male,15.85,3,0
male,18.7875,3,1
female,7.75,3,1
male,31.0,1,1
male,7.05,3,0
female,21.0,2,1
male,7.25,3,0
male,13.0,2,0
male,7.75,3,0
female,113.275,1,1
female,7.925,3,1
male,27.0,2,0
female,76.2917,1,1
male,10.5,2,0
male,8.05,3,1
male,13.0,2,0
male,8.05,3,0
male,7.8958,3,0
male,90.0,1,1
male,9.35,3,0
male,10.5,2,1
male,7.25,3,0
male,13.0,2,0
female,25.4667,3,0
female,83.475,1,1
male,7.775,3,0
male,13.5,2,0
female,31.3875,3,1
male,10.5,2,0
female,7.55,3,0
male,26.0,2,0
female,26.25,2,1
male,10.5,2,0
male,12.275,2,0
female,14.4542,3,0
female,15.5,3,1
male,10.5,2,0
male,7.125,3,0
male,7.225,3,0
male,90.0,1,0
female,7.775,3,0
female,14.5,2,1
male,52.5542,1,1
male,26.0,2,0
male,7.25,3,0
female,10.4625,3,0
male,26.55,1,0
male,16.1,3,0
female,20.2125,3,0
female,15.2458,3,1
female,79.2,1,1
female,86.5,1,1
female,512.3292,1,1
female,26.0,2,1
male,7.75,3,0
male,31.3875,3,1
male,79.65,1,0
male,0.0,1,0
female,7.75,3,0
male,10.5,2,0
male,39.6875,3,0
male,7.775,3,1
female,153.4625,1,1
female,135.6333,1,1
male,31.0,1,0
male,0.0,3,1
female,19.5,2,1
male,29.7,1,0
female,7.75,3,1
female,77.9583,1,1
female,7.75,3,0
male,0.0,2,0
male,29.125,3,0
female,20.25,3,1
male,7.75,3,0
male,7.8542,3,0
male,9.5,3,0
male,8.05,3,1
male,26.0,1,0
male,8.6625,3,0
male,9.5,3,1
male,7.8958,3,0
male,13.0,2,1
female,7.75,3,1
female,78.85,1,1
female,91.0792,1,1
male,12.875,2,0
female,8.85,3,0
male,7.8958,3,0
male,27.7208,1,0
male,7.2292,3,0
female,151.55,1,0
male,30.5,1,1
female,247.5208,1,1
female,7.75,3,1
male,23.25,3,1
male,0.0,3,0
female,12.35,2,1
male,8.05,3,0
male,151.55,1,1
female,110.8833,1,1
female,108.9,1,1
male,24.0,2,0
female,56.9292,1,1
female,83.1583,1,1
female,262.375,1,1
female,26.0,2,0
male,7.8958,3,0
male,26.25,2,0
female,7.8542,3,1
female,26.0,2,1
male,14.0,2,0
female,164.8667,1,1
female,134.5,1,1
male,7.25,3,0
male,7.8958,3,0
female,12.35,2,1
female,29.0,2,1
male,69.55,3,0
female,135.6333,1,1
male,6.2375,3,0
female,13.0,2,1
female,20.525,3,1
female,57.9792,1,1
female,23.25,3,1
male,28.5,1,0
male,153.4625,1,0
male,18.0,3,0
female,133.65,1,1
male,7.8958,3,0
male,66.6,1,0
female,134.5,1,1
male,8.05,3,1
male,35.5,1,0
male,26.0,2,1
female,263.0,1,1
male,13.0,2,0
male,13.0,2,0
male,13.0,2,0
female,13.0,2,1
female,13.0,2,1
female,16.1,3,1
